Staff Member,Research Activity,Research Area,Special Focus
Daniel Day-Lewis,"performing serious acting, winning Oscars","Acting, Hollywood, Serious Acting",
Tina Fey,writing comedy,Comedy,
Abraham Lincoln,"fighting for civil rights, fighting civil wars",American politics,
John Wilkes Booth,assassinating presidents,American politics,
Adam Sandler,making dumb comedies,Comedy,
Adam Smith,promoting capitalism,Capitalism,
Adam West,wearing tights,Comedy,
The Joker,"causing mayhem, spreading fear, laughing maniacally","DC Comics, Gotham City",Dagon Studies
Al Bundy,watching TV,"Family life, Comedy",
Al Capone,selling illegal alcohol,"Prohibition, the Mafia, Chicago",
Eliot Ness,"arresting bootleggers, fighting with the mob","Prohibition, the Mafia, Chicago, the Law",
Al Gore,lecturing about climate change,"the Left, the Democrats, the Environment",
Al Pacino,shouting in Hollywood movies,"Acting, Hollywood",
Alan Greenspan,talking up the economy,Economics,
Alan Sugar,selling consumer goods,British business,
Albert Einstein,revolutionizing physics,"Physics, Relativity",
Alec Baldwin,attacking paparazzi,"Acting, Hollywood",
Alfred Hitchcock,"making suspense movies, ","Directing, Suspense,",
Allan Quatermain,exploring darkest Africa,Victorian literature,Dagon Studies
Andrew Lloyd Webber,making insipid musicals,"Musicals, Musical Theatre",
Andy Warhol,"painting over photographs, painting soup cans","Modern painting, Pop art",
Angelina Jolie,"adopting children, starring in Hollywood movies, ","Acting, Hollywood",
Ann Coulter,ranting about liberals,"the Right, the Republicans",
Anna Karenina,worrying about adultery,Russian literature,Dagon Studies
Emma Bovary,"planning adultery, climbing social ladders","Madame Bovary, the Middle Class",Dagon Studies
Anthony Bourdain,"eating exotic foods, eating the inedible,","Cooking, the Kitchen",
Anton Chekov,writing plays about the middle classes,Russian literature,
Antonio Vivaldi,composing classical music,Classical music,
Archie Bunker,"ranting about liberals, ranting about minorities","American culture, the Working Class",Dagon Studies
Ariel Sharon,building giant walls,"Israeli politics, Middle-Eastern politics",
Aristotle,"writing on wax tablets, teaching philosophy to future leaders, teaching the next generation","Ancient philosophy, Greek philosophy, the Ancient world, Ancient Greece",
Arnold Schwarzenegger,"working out, making action movies","Acting, Action movies",
Arthur Conan Doyle,writing mystery stories,Detective fiction,
Atticus Finch,representing the disenfranchised,"the Law, the American South",Dagon Studies
Audrey Hepburn,starring in romantic comedies,"Acting, Hollywood",
Aung San Suu Kyi,campaigning for democracy,Asian politics,
Austin Powers,"foiling the schemes of evil villains, shagging spies","Spy spoofs, Bond spoofs, Spy movies",Dagon Studies
Ayn Rand,"promoting Objectivism, ranting about liberals","Capitalism, Objective philosophy",
Babe Ruth,hitting home runs,"Baseball, American sports",
Barack Obama,"campaigning for the presidency, giving speeches",American politics,
Barry White,singing romantic songs,"Pop music, Love songs",
Bart Simpson,"playing pranks, making prank calls","Family life, Comedy",Dagon Studies
Basil Fawlty,"condescending to customers, beating menial staff, terrorizing employees, running a hotel","British comedy, the Hotel business",Dagon Studies
Bear Grylls,"eating bugs, licking frogs, sucking roots","Reality TV, the Outback",
Ben Affleck,"making bad movie choices, avoiding paparazzi","Acting, Hollywood",
Benedict Arnold,"betraying friends, stabbing in the back, selling out, changing sides","American history, American politics, Betrayal",
Benjamin Franklin,testing scientific theories,"American history, American politics",
Benny Hill,chasing old women,"British comedy, British humour",
Bertie Wooster,"playing the piano, chasing flappers, doing the Charleston","British comedy,  British class politics",Dagon Studies
Reginald Jeeves,rescuing aristocrats,"British comedy,  British class politics",Dagon Studies
Bill Clinton,chasing interns,"American politics, the Left, the Democrats",
Bill Cosby,telling affable jokes,"American comedy, American culture, Comedy, Acting",
Bill Gates,"making billions, pushing dodgy operating systems, funding a cure for malaria","Microsoft, Technology, Software, the Software business",
Bill Murray,"starring in indy movies, telling dry jokes","American comedy, American culture",
Billy Bob Thornton,"playing intense characters, starring in indy movies","Acting, Hollywood",
Billy Crystal,"doing stand-up, starring in comedies","American comedy, American culture, Comedy, Acting",
Bing Crosby,singing middle-of-the-road songs,"Pop music, Love songs",
Bob Dylan,"singing protest songs,","Folk music, Protest songs",
Leonard Cohen,"singing melancholy songs, ",Love songs,
Bob Marley,"smoking herb, singing reggae songs","Reggae music, Pop Music, Carribean music",
Boba Fett,"collecting bounties on runaways, tracking down fugitives",Star Wars,Dagon Studies
Bobby Fischer,playing aggressive chess,Chess,
Bono,"singing rock songs, avoiding taxes, preaching to presidents","Rock music, ",
Brad Pitt,"starring in Hollywood movies, ","Acting, Hollywood",
Brian Wilson,"waxing a surfboard, singing multipart harmonies","Pop music, Love songs, the Beach Boys",
Bridget Jones,"keeping a diary, moaning about men",British culture,Dagon Studies
Britney Spears,"flirting with rednecks, having meltdowns in public","Pop music, Tweeny music",
Bruce Lee,"performing kung-fu moves, starring in kung-fu movies","Martial Arts, Kung Fu",
Bruce Springsteen,singing rock songs,"Rock music, ",
Bruce Wayne,"attending cocktail parties, running a multinational corporation, maintaining a secret identity","DC Comics, Big business, Gotham City",Dagon Studies
Commissioner James Gordon,"pursuing criminals, apprehending criminals, arresting criminals ","DC Comics,  Gotham City",Dagon Studies
Harvey Dent,"convicting criminals, tempting fate, tossing coins","DC Comics,  Gotham City",Dagon Studies
Batman,"tracking down criminals, preventing crime, solving crimes, punishing criminals, solving crimes, pursuing criminals, tricking criminals, maintaining a secret identity","DC Comics, Gotham City",Dagon Studies
Catwoman,"stealing jewels, defending the weak","DC Comics, Gotham City",Dagon Studies
Buck Rogers,surviving in the 25th century,Space Operas,Dagon Studies
Buddha,promoting Buddhism,"Eastern religion, Eastern philosophy",
Buzz Aldrin,"piloting the lunar module, collecting rock samples, piloting a spaceship, staring at the moon","NASA, Space flight, the Moon",
Buzz Lightyear,falling gracefully,"Pixar, Toy Story",Dagon Studies
Emperor Caligula,"terrorizing citizens, abusing power, ","the Roman Empire, Ancient Rome",
Cameron Diaz,starring in romantic comedies,"Acting, Comedy",
Captain Ahab,"chasing a great white whale, commanding a whaling ship","Moby Dick, Whaling",Dagon Studies
Cardinal Richelieu,"plotting strategies, directing the business of state","French history, French politics, pre-Revolutionary France",
Carl Lewis,"winning gold medals, competing in athletic events","Athletics, the Olympics",
Carl Sagan,studying the cosmos,"Astronomy, the Cosmos",
Stephen Jay Gould,"collecting fossils, promoting evolutionary theory","Evolution, Humanism",
Carrie Bradshaw,"writing about sex, shopping for shoes, gossiping with galpals","Sex and the City, Manhattan",Dagon Studies
Enrico Caruso,singing opera arias,Opera,
Cary Grant,starring in romantic comedies,"Acting, Hollywood",
Giacomo Casanova,"chasing after women, seducing women, womanizing","Italian culture, Italian culture, Romance",
Charlemagne,"running an empire, consolidating an empire","the Medieval world, European history",
Charles Atlas,"working out, bodybuilding",Bodybuilding,
Charles Darwin,"explaining evolution, promoting Darwinism, explaining natural selection","the Natural Sciences, Evolution",
Charles Dickens,"writing about social problems, writing serialized stories",Victorian literature,
Charles Foster Kane,"running a newspaper empire, publishing newspapers, running for governor, promoting yellow journalism","the Newspaper industry, Citizen Kane",Dagon Studies
Charlie Brown,"playing baseball, worrying about life","Peanuts, American culture",Dagon Studies
